result,elapsed_ns
SUCCESS,19600
SUCCESS,19600
SUCCESS,21801
SUCCESS,19301
SUCCESS,19401
SUCCESS,19300
SUCCESS,18800
SUCCESS,19900
SUCCESS,18801
SUCCESS,18900
SUCCESS,19399
SUCCESS,19600
SUCCESS,18600
SUCCESS,19401
SUCCESS,19100
SUCCESS,19000
SUCCESS,19501
SUCCESS,19900
SUCCESS,19499
SUCCESS,18900
SUCCESS,19501
SUCCESS,19401
SUCCESS,19100
SUCCESS,19201
SUCCESS,22400
SUCCESS,19900
SUCCESS,18900
SUCCESS,19701
SUCCESS,18699
SUCCESS,18600
SUCCESS,18800
SUCCESS,19300
SUCCESS,18800
SUCCESS,18999
SUCCESS,19200
SUCCESS,18899
SUCCESS,18599
SUCCESS,19400
SUCCESS,24199
SUCCESS,18799
SUCCESS,19100
SUCCESS,18799
SUCCESS,18500
SUCCESS,19701
SUCCESS,19500
SUCCESS,19300
SUCCESS,23100
SUCCESS,20500
SUCCESS,18700
SUCCESS,19201
SUCCESS,19899
SUCCESS,22800
SUCCESS,19201
SUCCESS,19100
SUCCESS,19300
SUCCESS,18800
SUCCESS,19100
SUCCESS,19100
SUCCESS,19100
SUCCESS,18900
SUCCESS,19100
SUCCESS,19401
SUCCESS,19200
SUCCESS,19500
SUCCESS,19400
SUCCESS,19000
SUCCESS,19800
SUCCESS,24199
SUCCESS,19399
SUCCESS,22399
SUCCESS,19000
SUCCESS,18801
SUCCESS,22000
SUCCESS,19000
SUCCESS,18400
SUCCESS,18500
SUCCESS,18900
SUCCESS,18900
SUCCESS,18799
SUCCESS,19300
SUCCESS,19700
SUCCESS,18500
SUCCESS,18400
SUCCESS,18900
SUCCESS,19500
SUCCESS,18801
SUCCESS,19201
SUCCESS,19299
SUCCESS,25900
SUCCESS,20800
SUCCESS,19700
SUCCESS,22000
SUCCESS,18900
SUCCESS,19699
SUCCESS,18900
SUCCESS,18901
SUCCESS,19201
SUCCESS,19899
SUCCESS,19700
SUCCESS,19401
SUCCESS,19100
SUCCESS,18800
SUCCESS,19000
SUCCESS,19200
SUCCESS,18701
SUCCESS,18499
SUCCESS,18900
SUCCESS,18699
SUCCESS,18400
SUCCESS,18400
SUCCESS,19400
SUCCESS,18400
SUCCESS,18500
SUCCESS,18800
SUCCESS,19401
SUCCESS,18499
SUCCESS,19500
SUCCESS,19401
SUCCESS,77299
SUCCESS,31800
SUCCESS,39800
SUCCESS,22001
SUCCESS,135000
SUCCESS,35299
SUCCESS,22900
SUCCESS,21100
SUCCESS,20500
SUCCESS,20300
SUCCESS,20501
SUCCESS,19601
SUCCESS,20000
SUCCESS,20000
SUCCESS,20000
SUCCESS,25800
SUCCESS,19600
SUCCESS,19500
SUCCESS,23200
SUCCESS,19001
SUCCESS,19100
SUCCESS,18901
SUCCESS,22500
SUCCESS,19400
SUCCESS,18299
SUCCESS,18500
SUCCESS,19801
SUCCESS,18901
SUCCESS,18700
SUCCESS,19201
SUCCESS,19301
SUCCESS,19200
SUCCESS,61900
SUCCESS,39399
SUCCESS,29301
SUCCESS,348300
SUCCESS,23200
SUCCESS,18600
SUCCESS,17500
SUCCESS,17800
SUCCESS,20600
SUCCESS,17300
SUCCESS,17301
SUCCESS,22600
SUCCESS,17801
SUCCESS,17100
SUCCESS,17601
SUCCESS,17001
SUCCESS,16900
SUCCESS,17900
SUCCESS,18201
SUCCESS,17400
SUCCESS,17299
SUCCESS,17500
SUCCESS,17500
SUCCESS,17100
SUCCESS,17099
SUCCESS,17500
SUCCESS,17300
SUCCESS,17000
SUCCESS,16901
SUCCESS,17401
SUCCESS,20001
SUCCESS,20300
SUCCESS,17599
SUCCESS,17399
SUCCESS,17000
SUCCESS,17000
SUCCESS,17400
SUCCESS,17700
SUCCESS,17600
SUCCESS,17099
SUCCESS,17800
SUCCESS,17099
SUCCESS,16799
SUCCESS,17500
SUCCESS,17699
SUCCESS,17600
SUCCESS,17299
SUCCESS,17900
SUCCESS,17900
SUCCESS,17099
SUCCESS,17500
SUCCESS,17699
SUCCESS,17600
SUCCESS,17900
SUCCESS,18199
SUCCESS,17899
SUCCESS,17499
SUCCESS,17900
SUCCESS,17900
SUCCESS,17901
SUCCESS,17300
SUCCESS,17100
SUCCESS,17799
SUCCESS,17500
SUCCESS,17499
SUCCESS,17500
SUCCESS,17900
SUCCESS,17300
SUCCESS,17299
SUCCESS,17900
SUCCESS,17200
SUCCESS,17300
SUCCESS,17400
SUCCESS,17801
SUCCESS,17200
SUCCESS,48200
SUCCESS,21401
SUCCESS,17600
SUCCESS,17200
SUCCESS,17599
SUCCESS,17500
SUCCESS,17300
SUCCESS,17799
SUCCESS,17600
SUCCESS,16900
SUCCESS,17400
SUCCESS,18100
SUCCESS,17800
SUCCESS,17400
SUCCESS,17500
SUCCESS,17701
SUCCESS,17000
SUCCESS,16999
SUCCESS,17700
SUCCESS,17700
SUCCESS,17801
SUCCESS,18099
SUCCESS,21000
SUCCESS,17300
SUCCESS,16901
SUCCESS,17400
SUCCESS,17100
SUCCESS,16900
SUCCESS,16700
SUCCESS,17900
SUCCESS,17501
SUCCESS,17099
SUCCESS,17399
SUCCESS,17700
SUCCESS,16900
SUCCESS,17100
SUCCESS,17601
SUCCESS,17601
SUCCESS,16900
SUCCESS,17599
SUCCESS,17600
SUCCESS,18100
SUCCESS,17600
SUCCESS,17200
SUCCESS,21000
SUCCESS,17700
SUCCESS,17400
SUCCESS,17500
SUCCESS,17599
SUCCESS,17000
SUCCESS,17200
SUCCESS,17500
SUCCESS,17601
SUCCESS,16899
SUCCESS,17300
SUCCESS,17500
SUCCESS,16999
SUCCESS,17200
SUCCESS,17001
SUCCESS,18000
SUCCESS,17700
SUCCESS,18899
SUCCESS,17700
SUCCESS,17700
SUCCESS,17099
SUCCESS,17399
SUCCESS,19000
SUCCESS,17801
SUCCESS,17600
SUCCESS,17600
SUCCESS,17900
SUCCESS,17300
SUCCESS,17400
SUCCESS,17500
SUCCESS,17700
SUCCESS,16800
SUCCESS,17699
SUCCESS,17600
SUCCESS,17501
SUCCESS,17500
SUCCESS,17799
SUCCESS,18200
SUCCESS,17500
SUCCESS,17401
SUCCESS,18201
SUCCESS,17600
SUCCESS,16800
SUCCESS,17100
SUCCESS,17800
SUCCESS,20800
SUCCESS,20600
SUCCESS,17601
SUCCESS,17099
SUCCESS,17500
SUCCESS,17200
SUCCESS,18200
SUCCESS,18099
SUCCESS,17300
SUCCESS,17600
SUCCESS,23000
SUCCESS,18500
SUCCESS,17400
SUCCESS,17700
SUCCESS,17301
SUCCESS,17299
SUCCESS,17999
SUCCESS,17700
SUCCESS,17599
SUCCESS,17100
SUCCESS,16801
SUCCESS,17500
SUCCESS,19901
SUCCESS,17001
SUCCESS,17700
SUCCESS,16900
SUCCESS,17400
SUCCESS,16999
SUCCESS,17800
SUCCESS,17200
SUCCESS,17399
SUCCESS,17500
SUCCESS,17100
SUCCESS,16700
SUCCESS,16900
SUCCESS,18201
SUCCESS,17600
SUCCESS,17500
SUCCESS,17200
SUCCESS,17999
SUCCESS,18200
SUCCESS,17700
SUCCESS,17999
SUCCESS,18100
SUCCESS,20901
SUCCESS,17399
SUCCESS,17700
SUCCESS,19800
SUCCESS,151700
SUCCESS,80599
SUCCESS,32101
SUCCESS,22599
SUCCESS,20800
SUCCESS,20400
SUCCESS,18200
SUCCESS,18001
SUCCESS,18000
SUCCESS,18900
SUCCESS,19600
SUCCESS,18900
SUCCESS,17900
SUCCESS,19100
SUCCESS,54500
SUCCESS,29900
SUCCESS,18800
SUCCESS,18800
SUCCESS,19199
SUCCESS,19300
SUCCESS,18199
SUCCESS,36300
SUCCESS,25800
SUCCESS,19400
SUCCESS,20400
SUCCESS,46800
SUCCESS,69700
SUCCESS,59300
SUCCESS,19900
SUCCESS,18201
SUCCESS,17399
SUCCESS,18200
SUCCESS,17200
SUCCESS,18000
SUCCESS,20300
SUCCESS,18699
SUCCESS,17999
SUCCESS,18700
SUCCESS,19399
SUCCESS,19200
SUCCESS,19000
SUCCESS,24300
SUCCESS,19700
SUCCESS,19899
SUCCESS,19599
SUCCESS,18000
SUCCESS,18700
SUCCESS,19000
SUCCESS,20100
SUCCESS,20001
SUCCESS,18700
SUCCESS,20901
SUCCESS,18701
SUCCESS,20800
SUCCESS,19500
SUCCESS,18600
SUCCESS,34700
SUCCESS,23000
SUCCESS,23501
SUCCESS,21200
SUCCESS,54100
SUCCESS,23800
SUCCESS,19100
SUCCESS,24400
SUCCESS,68600
SUCCESS,20900
SUCCESS,17601
SUCCESS,17900
SUCCESS,18499
SUCCESS,17900
SUCCESS,17599
SUCCESS,17700
SUCCESS,18200
SUCCESS,24300
SUCCESS,17000
SUCCESS,13000
SUCCESS,12100
SUCCESS,12200
SUCCESS,12400
SUCCESS,12200
SUCCESS,12599
SUCCESS,12501
SUCCESS,12400
SUCCESS,12400
SUCCESS,12299
SUCCESS,15800
SUCCESS,12699
SUCCESS,15000
SUCCESS,23900
SUCCESS,17800
SUCCESS,12700
SUCCESS,12400
SUCCESS,12300
SUCCESS,12400
SUCCESS,12500
SUCCESS,12100
SUCCESS,12301
SUCCESS,19900
SUCCESS,24600
