result,elapsed_ns
SUCCESS,26600
SUCCESS,26600
SUCCESS,33000
SUCCESS,26400
SUCCESS,26901
SUCCESS,26100
SUCCESS,29501
SUCCESS,26200
SUCCESS,26300
SUCCESS,26199
SUCCESS,26400
SUCCESS,27100
SUCCESS,27000
SUCCESS,26600
SUCCESS,26300
SUCCESS,42099
SUCCESS,59801
SUCCESS,49000
SUCCESS,29400
SUCCESS,49401
SUCCESS,49900
SUCCESS,34100
SUCCESS,29100
SUCCESS,28000
SUCCESS,31600
SUCCESS,27399
SUCCESS,26799
SUCCESS,27499
SUCCESS,27000
SUCCESS,27099
SUCCESS,27599
SUCCESS,43600
SUCCESS,51600
SUCCESS,48301
SUCCESS,48899
SUCCESS,80500
SUCCESS,36500
SUCCESS,29099
SUCCESS,32600
SUCCESS,30900
SUCCESS,27300
SUCCESS,26800
SUCCESS,26700
SUCCESS,26899
SUCCESS,27900
SUCCESS,46599
SUCCESS,44600
SUCCESS,29101
SUCCESS,30900
SUCCESS,27600
SUCCESS,27700
SUCCESS,26900
SUCCESS,34200
SUCCESS,47499
SUCCESS,27300
SUCCESS,39001
SUCCESS,27200
SUCCESS,31699
SUCCESS,49200
SUCCESS,34299
SUCCESS,30200
SUCCESS,27700
SUCCESS,35199
SUCCESS,27901
SUCCESS,29600
SUCCESS,34200
SUCCESS,40900
SUCCESS,27400
SUCCESS,26500
SUCCESS,26700
SUCCESS,26300
SUCCESS,35600
SUCCESS,28500
SUCCESS,27400
SUCCESS,26600
SUCCESS,26300
SUCCESS,27400
SUCCESS,30900
SUCCESS,26800
SUCCESS,26099
SUCCESS,28800
SUCCESS,25800
SUCCESS,25600
SUCCESS,26000
SUCCESS,38100
SUCCESS,56301
SUCCESS,35199
SUCCESS,28600
SUCCESS,28101
SUCCESS,44599
SUCCESS,27700
SUCCESS,26799
SUCCESS,27000
SUCCESS,26701
SUCCESS,30000
SUCCESS,26600
SUCCESS,57500
SUCCESS,27100
SUCCESS,26401
SUCCESS,26500
SUCCESS,30900
SUCCESS,69900
SUCCESS,46400
SUCCESS,45799
SUCCESS,40501
SUCCESS,38700
SUCCESS,39399
SUCCESS,59000
SUCCESS,46400
SUCCESS,43400
SUCCESS,43099
SUCCESS,43201
SUCCESS,41600
SUCCESS,43399
SUCCESS,33900
SUCCESS,29000
SUCCESS,32400
SUCCESS,27600
SUCCESS,29900
SUCCESS,27400
SUCCESS,26500
SUCCESS,29499
SUCCESS,26199
SUCCESS,25899
SUCCESS,26300
SUCCESS,38700
SUCCESS,50900
SUCCESS,40200
SUCCESS,28900
SUCCESS,28100
SUCCESS,27000
SUCCESS,26700
SUCCESS,26500
SUCCESS,26101
SUCCESS,26500
SUCCESS,39900
SUCCESS,51200
SUCCESS,33700
SUCCESS,28600
SUCCESS,31700
SUCCESS,28501
SUCCESS,26800
SUCCESS,26300
SUCCESS,51200
SUCCESS,49500
SUCCESS,38300
SUCCESS,58100
SUCCESS,35200
SUCCESS,32599
SUCCESS,36800
SUCCESS,40600
SUCCESS,42599
SUCCESS,32700
SUCCESS,28000
SUCCESS,27799
SUCCESS,26901
SUCCESS,29001
SUCCESS,26101
SUCCESS,26300
SUCCESS,26199
SUCCESS,33400
SUCCESS,39199
SUCCESS,26101
SUCCESS,29600
SUCCESS,57300
SUCCESS,58901
SUCCESS,36199
SUCCESS,32000
SUCCESS,32400
SUCCESS,31400
SUCCESS,35800
SUCCESS,35800
SUCCESS,30400
SUCCESS,29199
SUCCESS,29101
SUCCESS,29400
SUCCESS,43099
SUCCESS,60200
SUCCESS,43099
SUCCESS,30900
SUCCESS,27600
SUCCESS,27600
SUCCESS,26600
SUCCESS,72701
SUCCESS,32500
SUCCESS,29899
SUCCESS,123599
SUCCESS,64399
SUCCESS,53701
SUCCESS,63700
SUCCESS,58500
SUCCESS,53701
SUCCESS,70200
SUCCESS,176501
SUCCESS,48900
SUCCESS,43799
SUCCESS,43300
SUCCESS,44900
SUCCESS,81700
SUCCESS,43700
SUCCESS,43700
SUCCESS,43700
SUCCESS,41001
SUCCESS,42401
SUCCESS,46100
SUCCESS,39600
SUCCESS,38200
SUCCESS,53099
SUCCESS,51399
SUCCESS,48000
SUCCESS,42201
SUCCESS,52601
SUCCESS,80201
SUCCESS,52400
SUCCESS,50900
SUCCESS,46299
SUCCESS,49001
SUCCESS,49700
SUCCESS,49400
SUCCESS,44100
SUCCESS,43700
SUCCESS,52300
SUCCESS,40400
SUCCESS,45799
SUCCESS,41500
SUCCESS,56699
SUCCESS,40799
SUCCESS,38500
SUCCESS,37700
SUCCESS,41399
SUCCESS,36900
SUCCESS,37099
SUCCESS,44800
SUCCESS,39501
SUCCESS,62401
SUCCESS,42300
SUCCESS,42800
SUCCESS,42100
SUCCESS,46800
SUCCESS,42099
SUCCESS,40500
SUCCESS,39200
SUCCESS,36800
SUCCESS,64700
SUCCESS,39101
SUCCESS,42300
SUCCESS,45501
SUCCESS,69601
SUCCESS,46900
SUCCESS,43800
SUCCESS,48701
SUCCESS,42300
SUCCESS,47899
SUCCESS,41799
SUCCESS,46000
SUCCESS,45699
SUCCESS,42800
SUCCESS,52700
SUCCESS,38200
SUCCESS,48200
SUCCESS,38500
SUCCESS,40700
SUCCESS,58599
SUCCESS,51600
SUCCESS,50601
SUCCESS,52999
SUCCESS,34800
SUCCESS,28000
SUCCESS,26099
SUCCESS,25500
SUCCESS,24999
SUCCESS,47101
SUCCESS,33700
SUCCESS,28300
SUCCESS,60800
SUCCESS,34400
SUCCESS,29101
SUCCESS,26200
SUCCESS,40100
SUCCESS,49900
SUCCESS,27700
SUCCESS,36601
SUCCESS,36400
SUCCESS,27801
SUCCESS,26399
SUCCESS,25400
SUCCESS,25700
SUCCESS,27500
SUCCESS,33099
SUCCESS,45600
SUCCESS,29201
SUCCESS,29900
SUCCESS,46900
SUCCESS,31199
SUCCESS,26799
SUCCESS,37101
SUCCESS,41300
SUCCESS,59100
SUCCESS,35700
SUCCESS,47400
SUCCESS,33900
SUCCESS,51300
SUCCESS,34700
SUCCESS,27300
SUCCESS,29099
SUCCESS,26000
SUCCESS,45199
SUCCESS,49799
SUCCESS,35600
SUCCESS,40701
SUCCESS,33801
SUCCESS,27700
SUCCESS,26099
SUCCESS,38100
SUCCESS,34599
SUCCESS,62401
SUCCESS,43200
SUCCESS,32901
SUCCESS,76800
SUCCESS,46600
SUCCESS,80900
SUCCESS,44700
SUCCESS,47401
SUCCESS,32801
SUCCESS,90399
SUCCESS,44501
SUCCESS,36700
SUCCESS,36800
SUCCESS,64700
SUCCESS,77100
SUCCESS,62501
SUCCESS,47300
SUCCESS,43500
SUCCESS,197300
SUCCESS,60700
SUCCESS,76900
SUCCESS,54900
SUCCESS,82800
SUCCESS,60000
SUCCESS,56400
SUCCESS,48401
SUCCESS,50300
SUCCESS,122200
SUCCESS,57200
SUCCESS,43000
SUCCESS,39401
SUCCESS,44099
SUCCESS,50800
SUCCESS,82300
SUCCESS,68499
SUCCESS,51400
SUCCESS,47801
SUCCESS,42401
SUCCESS,66200
SUCCESS,69600
SUCCESS,40301
SUCCESS,54700
SUCCESS,49700
SUCCESS,49900
SUCCESS,50301
SUCCESS,44299
SUCCESS,45100
SUCCESS,36000
SUCCESS,36500
SUCCESS,32899
SUCCESS,33999
SUCCESS,34700
SUCCESS,33101
SUCCESS,33700
SUCCESS,41000
SUCCESS,43599
SUCCESS,56200
SUCCESS,34799
SUCCESS,39301
SUCCESS,31300
SUCCESS,31999
SUCCESS,34800
SUCCESS,32501
SUCCESS,32999
SUCCESS,33200
SUCCESS,39900
SUCCESS,35000
SUCCESS,34100
SUCCESS,36699
SUCCESS,39900
SUCCESS,37300
SUCCESS,34600
SUCCESS,33500
SUCCESS,37600
SUCCESS,53801
SUCCESS,37000
SUCCESS,35200
SUCCESS,35299
SUCCESS,33101
SUCCESS,31300
SUCCESS,32800
SUCCESS,34900
SUCCESS,36401
SUCCESS,46200
SUCCESS,36300
SUCCESS,34800
SUCCESS,32599
SUCCESS,32700
SUCCESS,32900
SUCCESS,33301
SUCCESS,32401
SUCCESS,32300
SUCCESS,51799
SUCCESS,31500
SUCCESS,31200
SUCCESS,33600
SUCCESS,32500
SUCCESS,45499
SUCCESS,35400
SUCCESS,34200
SUCCESS,32700
SUCCESS,32799
SUCCESS,32099
SUCCESS,32599
SUCCESS,35200
SUCCESS,32699
SUCCESS,34500
SUCCESS,34500
SUCCESS,35999
SUCCESS,36800
SUCCESS,70500
SUCCESS,46100
SUCCESS,38600
SUCCESS,37999
SUCCESS,36501
SUCCESS,35701
SUCCESS,35300
SUCCESS,36201
SUCCESS,36701
SUCCESS,37100
SUCCESS,37000
SUCCESS,36800
SUCCESS,37800
SUCCESS,37401
SUCCESS,38100
SUCCESS,39200
SUCCESS,36201
SUCCESS,36800
SUCCESS,58300
SUCCESS,37000
SUCCESS,33400
SUCCESS,33700
SUCCESS,30700
SUCCESS,29800
SUCCESS,76100
SUCCESS,36501
SUCCESS,35699
SUCCESS,35200
SUCCESS,38100
SUCCESS,33300
SUCCESS,32500
SUCCESS,31600
SUCCESS,30800
SUCCESS,31300
SUCCESS,30500
SUCCESS,30700
SUCCESS,53201
SUCCESS,41100
SUCCESS,219900
SUCCESS,37200
SUCCESS,32199
SUCCESS,34100
SUCCESS,34600
SUCCESS,30000
SUCCESS,29701
SUCCESS,29600
SUCCESS,28900
SUCCESS,29000
SUCCESS,28300
SUCCESS,29101
SUCCESS,28199
SUCCESS,28200
SUCCESS,28099
SUCCESS,28000
SUCCESS,50100
SUCCESS,32000
SUCCESS,34500
SUCCESS,29800
SUCCESS,28901
SUCCESS,28601
SUCCESS,29299
SUCCESS,28900
SUCCESS,29700
SUCCESS,70701
SUCCESS,32100
SUCCESS,29400
SUCCESS,28600
SUCCESS,27100
SUCCESS,27800
SUCCESS,33000
SUCCESS,32199
SUCCESS,30100
SUCCESS,46900
SUCCESS,31600
SUCCESS,29100
SUCCESS,29199
SUCCESS,28200
SUCCESS,28900
SUCCESS,29700
SUCCESS,28401
SUCCESS,27900
SUCCESS,28501
SUCCESS,28301
SUCCESS,33601
SUCCESS,32000
SUCCESS,27700
SUCCESS,27200
SUCCESS,27100
SUCCESS,27300
SUCCESS,29800
SUCCESS,42500
SUCCESS,28300
SUCCESS,27400
SUCCESS,32700
SUCCESS,36400
SUCCESS,42300
SUCCESS,45801
SUCCESS,45500
SUCCESS,45000
SUCCESS,38601
SUCCESS,49601
SUCCESS,43800
SUCCESS,39300
SUCCESS,38599
SUCCESS,36300
SUCCESS,45800
SUCCESS,42001
SUCCESS,35100
SUCCESS,74401
SUCCESS,53699
SUCCESS,40900
SUCCESS,52701
SUCCESS,49700
SUCCESS,37800
SUCCESS,36899
SUCCESS,47300
SUCCESS,67300
SUCCESS,53099
SUCCESS,93400
SUCCESS,63199
SUCCESS,86900
SUCCESS,43700
SUCCESS,26800
SUCCESS,22200
SUCCESS,20800
SUCCESS,38200
SUCCESS,42401
SUCCESS,59100
SUCCESS,28499
SUCCESS,22000
SUCCESS,36100
SUCCESS,42600
SUCCESS,34800
SUCCESS,115700
SUCCESS,88999
SUCCESS,60200
SUCCESS,75000
SUCCESS,34601
SUCCESS,77001
SUCCESS,43700
SUCCESS,24400
SUCCESS,26600
SUCCESS,40501
SUCCESS,46800
SUCCESS,34300
SUCCESS,24001
SUCCESS,21000
SUCCESS,20800
SUCCESS,19800
SUCCESS,20399
SUCCESS,36100
SUCCESS,38500
SUCCESS,64499
SUCCESS,60599
SUCCESS,37500
SUCCESS,49300
SUCCESS,20400
SUCCESS,19400
SUCCESS,19900
SUCCESS,26000
SUCCESS,41499
SUCCESS,37400
SUCCESS,39800
SUCCESS,29700
SUCCESS,21699
SUCCESS,20400
SUCCESS,19700
SUCCESS,23600
SUCCESS,19901
SUCCESS,19000
SUCCESS,19200
SUCCESS,23201
SUCCESS,34900
SUCCESS,33999
SUCCESS,19300
SUCCESS,24900
SUCCESS,19400
SUCCESS,18900
SUCCESS,18900
SUCCESS,19500
SUCCESS,20400
SUCCESS,24199
SUCCESS,19501
SUCCESS,19000
SUCCESS,19000
SUCCESS,19201
SUCCESS,19100
SUCCESS,18900
SUCCESS,18699
SUCCESS,29100
SUCCESS,39101
SUCCESS,44300
SUCCESS,21199
SUCCESS,19399
SUCCESS,20300
SUCCESS,19700
SUCCESS,19499
SUCCESS,19100
SUCCESS,18600
SUCCESS,19199
SUCCESS,18899
SUCCESS,18599
SUCCESS,18999
SUCCESS,19100
SUCCESS,31300
SUCCESS,42300
SUCCESS,29500
SUCCESS,21399
SUCCESS,23100
SUCCESS,48300
SUCCESS,76601
SUCCESS,24400
SUCCESS,19801
SUCCESS,18701
SUCCESS,18600
SUCCESS,19000
SUCCESS,18700
SUCCESS,18501
SUCCESS,18400
SUCCESS,20901
SUCCESS,19100
SUCCESS,18601
SUCCESS,22101
SUCCESS,18500
SUCCESS,18499
SUCCESS,36400
SUCCESS,37399
SUCCESS,43400
SUCCESS,24200
SUCCESS,48300
SUCCESS,19600
SUCCESS,18900
SUCCESS,18500
SUCCESS,18100
SUCCESS,18400
SUCCESS,39000
SUCCESS,32700
SUCCESS,19500
SUCCESS,17999
SUCCESS,18299
SUCCESS,18200
SUCCESS,20600
SUCCESS,17800
SUCCESS,19900
SUCCESS,18200
SUCCESS,25700
SUCCESS,18700
SUCCESS,18101
SUCCESS,17801
SUCCESS,18300
SUCCESS,21000
SUCCESS,37600
SUCCESS,19001
SUCCESS,18099
SUCCESS,17801
SUCCESS,18200
SUCCESS,18600
SUCCESS,17599
SUCCESS,17700
SUCCESS,18200
SUCCESS,17900
SUCCESS,17801
SUCCESS,17799
SUCCESS,30399
SUCCESS,18200
SUCCESS,17600
SUCCESS,18300
SUCCESS,32600
SUCCESS,18700
SUCCESS,18301
SUCCESS,18100
SUCCESS,17900
SUCCESS,31600
SUCCESS,18501
SUCCESS,17799
SUCCESS,23200
SUCCESS,39200
SUCCESS,35200
SUCCESS,19000
SUCCESS,18100
SUCCESS,22299
SUCCESS,26300
SUCCESS,18400
SUCCESS,18000
SUCCESS,18000
SUCCESS,17900
SUCCESS,20100
SUCCESS,18100
SUCCESS,17700
SUCCESS,17900
SUCCESS,18700
SUCCESS,17900
SUCCESS,17900
SUCCESS,18099
SUCCESS,17800
SUCCESS,17799
SUCCESS,17599
SUCCESS,26700
SUCCESS,35700
SUCCESS,46400
SUCCESS,27000
SUCCESS,34701
SUCCESS,17800
SUCCESS,20899
SUCCESS,17200
SUCCESS,17200
SUCCESS,17400
SUCCESS,17401
SUCCESS,17501
SUCCESS,17000
SUCCESS,19401
SUCCESS,29100
SUCCESS,17601
SUCCESS,17300
SUCCESS,17100
SUCCESS,17101
SUCCESS,19200
SUCCESS,24100
SUCCESS,17100
SUCCESS,16800
SUCCESS,17100
SUCCESS,17099
SUCCESS,16899
SUCCESS,16700
SUCCESS,34501
SUCCESS,34599
SUCCESS,28700
SUCCESS,20599
